,bhk,price,size,location
716,2,57.8,721,KAHILPARA
717,2,40.0,559,AZARA
718,3,53.0,1238,BAGHARBARI
719,3,40.0,645,AZARA
720,3,48.7,725,LOKHRA
721,3,40.0,805,JALUKBARI
722,2,34.0,800,AZARA
723,3,57.4,899,AHOM GAON
724,2,36.0,723,JYOTIKUCHI
725,2,46.5,778,JALUKBARI
726,3,56.0,885,BAGHARBARI
727,2,40.0,622,KHANAPARA
728,3,80.0,1200,GUWAHATI
729,2,38.0,750,KAHILIPARA
730,3,57.3,902,BAGHARBARI
731,2,50.0,750,BAGHARBARI
732,2,36.2,812,KHARGHULI HILLS
733,2,36.3,812,KHARGHULI HILLS
734,2,36.3,812,KHARGHULI HILLS
735,3,60.0,1105,LOKHRA ROAD
736,3,70.3,910,BELTOLA
